FIPS,State,County,"Population Estimate, 2016",PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,GROCPTH14,SUPERCPTH14,CONVSPTH14,SNAPSPTH16,FFRPTH14,FSRPTH14,PC_FFRSALES12,PC_FSRSALES12,FOODINSEC_13_15,VLFOODSEC_13_15,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,FMRKTPTH16,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,RECFACPTH14,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
01027,AL,Clay,"13,492",4.613414585,2.32687988,3.40192308,0.22136954,0,0.516528926,0.982063445,0.295159386,0.442739079,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.148235992,14.6,37.3,0,80.2899799,14.69997129,2.863910422,0.165087568,17.57823715,22.5667528,38908,18.4,0,27.3,0,0,0
01029,AL,Cleburne,"14,924",5.27341132,2.07171577,3.552265349,0.132625995,0,0.663129973,0.764987045,0.530503979,0.132625995,674.8027204,512.2809873,17.6,7.3,0.8567245,0.9908802,0.799857,0.067006165,12.6,30,0.066312997,93.21399947,3.299492386,2.050494256,0.153620091,15.76943628,23.7176062,42136,18.9,0,27.7,0,0,0
01031,AL,Coffee,"51,226",20.99400573,5.98120314,2.737130888,0.098214461,0.0196429,0.53035809,0.881713713,0.667858335,0.550000982,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.019521337,15.9,33.7,0.078571569,72.34323697,16.53119244,6.366621286,1.259309682,14.43501241,24.19316089,46858,16.2,0,23.7,0,0,0
01033,AL,Colbert,"54,216",20.38595264,6.551704535,2.995959836,0.183341584,0.0183342,0.78836881,1.397189022,0.953376235,0.696698018,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.055334219,18.7,37.5,0.11000495,79.61710884,15.98809436,2.008157566,0.411552877,17.38627177,22.10994341,41171,18.1,0,26.9,0,1,0
01035,AL,Conecuh,"12,395",26.90020744,13.22977626,5.789568183,0.157853197,0,1.104972376,1.263950518,0.552486188,0.315706393,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.080677693,17.4,36.4,0,51.13395827,46.28061687,1.21711521,0.128515271,17.8560629,22.99667372,29981,28.3,1,41,1,0,0
01037,AL,Coosa,"10,581",24.51625213,10.12480749,5.844221713,0.091861106,0,0.734888848,0.378036102,0.091861106,0,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0,17.3,39.7,0,65.89825808,30.81722853,1.993240315,0.121327671,17.07253661,20.53904151,36078,20.3,0,32.2,0,0,0
01039,AL,Covington,"37,458",9.980464049,4.370326751,3.300127,0.158252888,0.0263755,0.923141847,1.45941232,0.633011552,0.474758664,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.053393134,14.7,34,0.079126444,84.07520191,12.40566662,1.278962002,0.391897259,18.37415596,22.56851582,36355,22.3,0,34.1,1,0,0
01041,AL,Crenshaw,"13,913",37.96178978,17.03906038,4.438704255,0.214638334,0,0.50082278,1.323702053,0.357730557,0.429276669,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.071875225,16.5,39.7,0,72.05522796,23.30648641,1.466992665,1.359125557,15.89242054,23.78829282,36759,19.9,0,29.6,1,0,0
01043,AL,Cullman,"82,471",7.33809691,3.10960625,3.298245805,0.184526812,0.0123018,0.602787585,0.990247077,0.651994735,0.590485798,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.012125474,14.4,33.4,0.0369054,92.73934781,1.021068079,4.295699326,0.421610328,15.93164689,23.18359326,39290,19.4,0,24.7,0,0,0
01045,AL,Dale,"49,226",27.933713,10.55938033,3.065504847,0.161668418,0.0202086,0.646673672,1.059738079,0.687090777,0.606256568,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.040628936,14.1,36.5,0.0404171,71.05331237,18.99663688,5.61381863,1.048735349,13.4504786,24.82935663,45294,18.5,0,29,0,0,0
01047,AL,Dallas,"40,008",17.43509098,11.55627093,5.794713908,0.191795929,0.0239745,0.743209225,1.201842965,0.455515332,0.359617367,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.024995001,19,40.8,0.047949,28.9274304,69.17845733,0.705157462,0.32861707,14.0689183,26.46052031,29682,34.6,1,50.1,1,0,1
01049,AL,DeKalb,"70,900",3.768654688,2.166964609,2.756660319,0.197002744,0.0140716,0.703581228,1.156558533,0.605079856,0.436220362,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.028208745,13.4,30.4,0.0422149,81.56070258,1.44707421,13.62696705,0.23344443,13.88713102,25.82795427,37305,20.6,0,28.9,0,0,0
01051,AL,Elmore,"81,799",18.99596054,6.943021714,3.467339217,0.123491856,0.0246984,0.691554392,0.91484411,0.555713351,0.469269052,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.024450177,13.4,35.4,0.0493967,74.96437714,19.94123804,2.684639925,0.648146981,11.89866714,23.58927153,53548,14,0,19.9,0,1,0
01053,AL,Escambia,"37,728",13.2017417,7.219940028,4.009301137,0.106008004,0.026502,0.768558026,1.190539299,0.715554024,0.530040018,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.079516539,17.8,37.7,0.053004,61.34815627,31.73882408,1.873744096,0.224431744,15.16741042,22.64933845,36840,24.4,1,32,1,0,0
01055,AL,Etowah,"102,564",22.30185466,9.400616626,3.23626668,0.125566256,0.0193179,0.656808106,1.146438646,0.763056476,0.550559736,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.029250029,16.8,35.1,0.086930485,79.27702767,15.04931533,3.300775639,0.62912956,15.80771809,22.96849564,42145,19,0,30.7,0,1,0
01057,AL,Fayette,"16,546",2.362895151,1.354458699,6.266506819,0.296313856,0.0592628,0.474102169,0.715177888,0.53336494,0.53336494,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.060437568,15.1,33.7,0,86.0274926,11.35664985,1.183226031,0.214604721,17.88759353,22.25508961,37085,20.4,0,29.4,0,0,0
01059,AL,Franklin,"31,628",11.55514048,4.120619394,3.712810354,0.253156546,0.0316446,0.506313091,1.027570507,0.569602228,0.506313091,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.063235108,13.9,33.2,0.094933705,79.63979309,3.819707292,14.85616957,0.160862983,15.21889982,24.81390361,38535,21.1,0,32.4,0,0,0
01061,AL,Geneva,"26,614",2.259027229,0.930784798,2.320170127,0.374363582,0,0.524109015,1.199243506,0.374363582,0.41179994,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0,13.9,34.1,0,84.70324748,9.417693169,3.434117208,0.23889511,17.44680851,22.36282195,36289,22.4,0,34.8,1,1,0
01063,AL,Greene,"8,422",32.75833067,21.34247572,8.343311726,0.233836081,0,1.403016485,2.018522916,0.11691804,0.233836081,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.237473284,21,46.3,0,17.26920951,81.24930901,0.762852405,0.165837479,16.07517966,24.2564953,25398,37.7,1,54.7,1,0,1
01065,AL,Hale,"14,952",11.83084613,4.647506988,9.596338241,0.197576396,0,0.987881981,0.975343321,0.461011591,0.263435195,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.066880685,16,40.4,0.065858799,39.42258883,58.78807107,0.888324873,0.222081218,15.03807107,24.84137056,35470,28.5,1,38.6,1,1,0
01067,AL,Henry,"17,164",4.655371795,2.14216797,4.541688785,0.17452007,0,0.872600349,0.873922163,0.581733566,0.639906923,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.116522955,18.7,35.8,0,67.80141024,28.40712056,2.248294995,0.260085539,17.59334181,22.64478095,42501,17,0,27.5,1,1,0
01069,AL,Houston,"104,056",18.06134011,6.282605938,2.241495081,0.15356118,0.0287927,0.64303744,1.33181492,0.930964652,0.739013177,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.02883063,13.7,32.8,0.067183016,68.66869528,25.64132865,2.949373197,0.793721134,14.45143628,24.54626922,43568,18.3,0,29.5,1,1,0
01071,AL,Jackson,"52,138",7.926365826,3.272510542,3.51383692,0.208867369,0.0189879,0.892433305,1.01173808,0.550650337,0.474698566,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.019179869,14.9,32,0,90.06143499,3.327258722,2.515640558,0.309993049,16.48223646,22.51676781,40201,18.4,0,26.9,0,0,0
01073,AL,Jefferson,"659,521",31.23287577,12.27159061,2.742853707,0.163439988,0.0287533,0.694619949,0.901664491,0.971559929,0.569013292,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.025776283,13,33.2,0.105933326,51.66751207,41.84134033,3.870814894,1.37972196,13.12793675,23.46787837,48415,18,0,26.2,1,1,0
01075,AL,Lamar,"13,918",1.578911098,0.75067659,3.908833435,0.212977424,0,0.638932273,0.999904201,0.425954849,0.709924748,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.071849404,14.9,33.6,0,86.11645152,11.22631145,1.235924197,0.027464982,18.75858281,22.15737435,36520,24.7,0,33.8,0,0,0
01077,AL,Lauderdale,"92,318",13.45726597,5.038074088,3.219811078,0.182607201,0.0214832,0.537080003,0.997458062,0.773395205,0.751912005,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.010832124,14.2,32.9,0.096674401,85.4588012,9.912737706,2.24573666,0.728084652,16.77614903,21.55346299,43008,17.3,0,23.9,0,1,0
01079,AL,Lawrence,"33,244",4.799919493,2.122488173,3.465288182,0.149356274,0.0298713,0.567553843,0.802149761,0.477940078,0.507811333,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.030080616,15.6,35.5,0.0597425,76.93875768,11.40685518,1.67156877,0.119397769,14.55779143,23.19228865,41771,18.7,0,26.4,0,1,0
01081,AL,Lee,"158,991",26.26500879,12.24950372,2.279176288,0.110207125,0.0194483,0.492690675,0.653076799,0.82979482,0.706622152,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.025158657,9.5,29,0.0518622,69.80541473,22.58444031,3.259249752,2.577595243,9.06686061,22.52525901,46442,21,0,20.7,0,1,0
01083,AL,Limestone,"92,753",11.28194737,3.518353856,2.667996321,0.099133136,0.0110148,0.616828401,0.809497626,0.561754436,0.429576922,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.010781322,12.6,32.9,0.066088757,78.65478002,12.50271798,5.545891619,1.100480781,12.30581527,23.98951463,55060,14.3,0,18.8,0,1,0
01085,AL,Lowndes,"10,358",22.4786653,13.06214495,10.47489001,0.283553875,0,0.56710775,1.592971616,0,0.189035917,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.096543734,23.5,45.1,0.094517958,25.14381804,73.30737233,0.769979644,0.12390477,14.64731392,24.1791309,31117,35.2,1,46.7,1,1,0
01087,AL,Macon,"18,963",37.52927142,21.63866443,10.47565441,0.205920206,0,0.720720721,0.900877147,0.463320463,0.102960103,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.052734272,18.4,44.7,0,15.22934924,82.18814097,1.081484244,0.354279321,14.12921872,20.60413947,29522,32.2,1,46.1,1,0,1
01089,AL,Madison,"356,967",26.44597413,7.467345123,1.733899194,0.125606981,0.0342564,0.608051978,0.798860025,0.942052361,0.645163132,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.019609656,11.5,32.3,0.139880502,66.14030005,23.74981706,4.600804633,2.439286642,12.2077829,23.74175281,59117,13.3,0,19.1,0,1,0
01091,AL,Marengo,"19,673",24.37345136,12.62897065,6.731829491,0.149179513,0.0497265,0.994530085,1.232653891,0.94480358,0.447538538,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.152493265,20.2,40.3,0.0497265,45.68887621,51.54325391,1.674038141,0.252056879,16.28382556,24.6873068,35389,23.3,1,34.8,1,0,1
01093,AL,Marion,"29,998",6.269273851,3.254542626,4.232911072,0.099104754,0.066069836,0.79283803,0.880614263,0.561593604,0.660698358,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.066671111,18.7,35.5,0.066069836,92.63387055,3.827657915,2.053548219,0.172212113,18.34221471,21.65648557,34977,19.8,0,30.4,0,0,0
01095,AL,Marshall,"95,157",11.27167399,5.187505411,3.172932646,0.22190287,0.0317004,0.750243036,1.133214933,0.750243036,0.6340082,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.031526845,12.8,33.2,0.0422672,83.91833926,1.493243316,12.08140272,0.510648362,14.90233178,25.00456896,40599,20.1,0,32.7,0,0,0
01097,AL,Mobile,"414,836",25.12606624,10.2659253,2.049897305,0.144535475,0.0216803,0.55164373,1.234825329,0.60945792,0.522736635,674.8027204,512.2809873,17.6,7.3,1.01769,1.001391,0.9401653,0.012052956,15.6,37.1,0.072267738,59.05780257,34.44909344,2.405857741,1.817710755,12.91090384,25.0806311,42530,18.4,0,26.9,1,1,0
01099,AL,Monroe,"21,530",24.76001675,12.83952666,8.979837313,0.273385884,0.0455643,0.68346471,1.207617278,0.410078826,0.45564314,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.092893637,17.8,35.3,0.0455643,54.71215537,41.53372637,0.953702098,0.290445639,15.6840645,25.32079071,35163,28.6,1,35.7,1,0,0
01101,AL,Montgomery,"226,349",28.85411116,14.57214106,3.134753697,0.163580015,0.0265265,0.623372489,1.013184654,0.928427112,0.623372489,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.013253869,13.5,34.8,0.084000548,38.41029285,54.46737268,3.624821789,2.089264615,11.95528485,24.48825661,42666,22.8,0,33.8,1,1,0
01103,AL,Morgan,"119,012",12.98374724,4.084201812,2.081615092,0.133771435,0.0167214,0.794267894,1.086725148,0.827710753,0.560167883,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.025207542,12.6,31.6,0.075246432,77.48347142,11.76583815,7.662565905,0.556531927,14.11917315,23.95514269,47234,16.4,0,24,0,1,0
01105,AL,Perry,"9,574",8.323571678,4.885117508,8.853715303,0.407083249,0,0.610624873,1.25339461,0.101770812,0.610624873,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.104449551,21.7,43,0,29.66669814,68.39769616,1.07638561,0.283259371,16.70286092,24.10537249,26218,40,1,54.4,1,0,1
01107,AL,Pickens,"20,324",2.679725717,0.89215884,5.962544691,0.196415419,0,0.392830837,1.23007282,0.392830837,0.294623128,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.098405826,16.4,36.4,0.0491039,55.84422161,41.37040413,1.585131166,0.162058138,16.89456092,23.30092171,33160,24.3,1,35.3,1,1,0
01109,AL,Pike,"33,286",13.78612462,6.304344574,4.262256912,0.179699901,0.02995,0.598999671,1.184181538,0.988349456,0.658899638,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.030042661,13.5,38.4,0.0599,57.40903979,36.44487674,2.218912429,1.960545913,12.79978115,20.31064774,34442,25.9,1,36,1,0,0
01111,AL,Randolph,"22,652",14.72801232,6.815483083,4.994608169,0.133102622,0.0443675,0.798615733,1.088939902,0.399307866,0.310572785,674.8027204,512.2809873,17.6,7.3,0.8567245,0.9908802,0.799857,0.088292425,14.9,30.9,0,75.41570288,20.09339676,2.832453193,0.235674071,16.96853315,23.88600358,37333,18.7,0,31.7,1,0,0
01113,AL,Russell,"58,172",11.75865619,5.546703228,2.842972239,0.20131526,0.0167763,0.637498322,1.09732059,0.738155952,0.352301704,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.017190401,12.9,36.4,0.0503288,52.11060117,41.41122254,3.675373487,0.421175893,12.69193722,25.49530663,36124,23,0,36.3,1,1,0
01115,AL,St. Clair,"88,019",5.457203496,1.567858407,2.161321982,0.161481943,0.0346033,0.645927771,0.837887274,0.5651868,0.507514678,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.011361183,12.8,33,0.0230688,87.26448387,8.491141603,2.052803464,0.612491477,13.05013578,23.7172969,53558,12.4,0,17.5,0,1,0
01117,AL,Shelby,"210,622",24.15476247,4.302479799,1.834676011,0.125813554,0.0241949,0.474220319,0.60891075,0.682296581,0.638745736,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.037982737,8.7,30.1,0.130652537,80.15531691,10.56257529,5.929210344,1.896096573,10.57333983,25.61037496,70879,8.5,0,10.2,0,1,0
01119,AL,Sumter,"13,040",16.74435355,10.37288563,10.5446891,0.227859638,0,1.291204618,1.597648262,0.53167249,0.455719277,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.076687117,20.1,40.3,0.075953213,24.00639395,74.71481508,0.624863765,0.239773305,14.98946451,22.29165153,25931,33.2,1,44.2,1,0,1
01121,AL,Talladega,"80,103",13.41384507,5.854664594,3.903612536,0.110671159,0.0245936,0.897666068,1.189094041,0.602542977,0.454981432,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.012483927,15.3,39,0,64.50158584,31.53807828,2.030598729,0.399800707,14.08537993,23.43512656,37911,22.4,0,31.1,1,0,0
01123,AL,Tallapoosa,"40,727",8.373536279,4.324954396,6.270150241,0.145754889,0.0242925,0.874529333,1.106964258,0.48584963,0.412972185,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.024553736,13.7,36.9,0.0242925,69.29546328,26.55228758,2.503844675,0.473375625,17.28421761,22.15253749,39051,21.7,0,34.5,0,0,0
01125,AL,Tuscaloosa,"206,102",17.9082999,6.494042565,1.859899042,0.103851403,0.0197812,0.553874152,0.84343351,0.796194093,0.543983542,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.0145559,12.3,34.3,0.084070184,65.04346129,29.48843087,3.056160612,1.177975506,10.81394871,21.46658721,47868,20,0,25.1,0,1,0
01127,AL,Walker,"64,967",11.72531766,5.210069744,4.498501103,0.152739381,0.0305479,0.687327214,1.15443225,0.626231461,0.519313895,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.01539243,16.7,33.2,0.0610958,90.39732629,5.796517613,1.950076839,0.283484774,16.25412172,22.54002357,37305,20.6,0,31.1,0,1,0
01129,AL,Washington,"16,756",8.411904598,3.583565886,4.07058085,0.118807176,0,0.534632292,0.934988462,0.178210764,0.356421528,674.8027204,512.2809873,17.6,7.3,1.136671,0.9925836,1.0594,0.059680115,17.8,40.2,0,65.15556567,24.79949946,0.858881747,0.102383255,14.73181275,25.50480633,42658,22.4,0,31.5,1,0,0
01131,AL,Wilcox,"10,986",42.82029621,30.46474603,13.32527101,0.630744278,0,0.720850604,1.744644699,0.450531627,0.450531627,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.273074823,19.3,44.9,0,26.64952871,72.15081405,0.616966581,0.034275921,15.01285347,26.99228792,23014,33.2,1,49.2,1,0,1
01133,AL,Winston,"23,805",5.959127003,2.655012846,4.006180092,0.33126294,0,0.745341615,1.09920885,0.414078675,0.621118012,674.8027204,512.2809873,17.6,7.3,0.9703046,0.9722159,0.9232891,0.042007982,13.2,30.2,0.0414079,94.90687796,0.469694494,2.609867669,0.240973697,17.69727169,21.64270544,36497,18.9,0,29.3,0,0,0
02013,AK,Aleutians East,"3,296",70.13690004,34.93750965,21.93798279,1.19047619,0,0,1.516990291,0.297619048,0.297619048,511.4807882,724.8088817,13.3,4.4,,,,0,7.6,33.4,0,13.5307227,6.749442853,12.25724292,35.43457498,4.934734161,11.81152499,57015,17.4,0,15.5,0,0,0
02016,AK,Aleutians West,"5,647",22.35621387,8.574047789,11.5099696,0.52173913,0,0.173913043,0.708340712,0,0.347826087,511.4807882,724.8088817,13.3,4.4,,,,0.177085178,6.2,39.4,0,31.37924834,5.718395972,13.0552059,28.3222442,3.470598813,14.65563748,80695,8.5,0,8.5,0,0,0
02020,AK,Anchorage,"298,192",27.42720787,5.113838821,0.925676659,0.106308761,0.0398658,0.199328926,0.410250219,0.677718348,0.767416365,511.4807882,724.8088817,13.3,4.4,,,,0.03353544,7,27,0.136208099,62.64486372,5.245591551,7.559641704,7.952684134,7.243700013,25.96958462,77791,8.7,0,12.4,0,1,0
02050,AK,Bethel,"17,968",67.62395515,41.98759872,53.51506659,1.231251399,0,0.391761809,2.810552093,0.391761809,0.391761809,511.4807882,724.8088817,13.3,4.4,,,,0,5.8,30.3,0,10.89754893,0.382060777,1.063892318,0.928701581,6.118850291,36.54852172,44849,24.2,0,31.5,1,0,0
02060,AK,Bristol Bay,898,99.99999981,17.66323306,9.798994992,2.089864159,0,1.044932079,1.113585746,0,2.089864159,511.4807882,724.8088817,13.3,4.4,,,,0,8.5,39.7,0,47.74322969,0,2.407221665,0.802407222,8.324974925,22.56770311,66373,9,0,8.6,0,0,1
02068,AK,Denali,"1,953",100.0000007,22.93371496,0.449859045,0,0,2.082248829,,1.041124414,3.64393545,511.4807882,724.8088817,13.3,4.4,,,,0,5.8,27,0,88.38992333,0.547645126,2.300109529,1.040525739,7.502738226,22.50821468,73000,6.6,0,10.2,0,0,0
02070,AK,Dillingham,"4,954",50.78418952,32.19756974,34.63980046,1.202886929,0,0.601443464,1.648499529,0.200481155,0.40096231,511.4807882,724.8088817,13.3,4.4,,,,0.201857085,7.2,38,0,17.63977718,0.226944502,2.083763152,0.660202187,7.571693831,32.90695275,50753,20,0,30.4,1,0,0
02090,AK,Fairbanks North Star,"100,605",34.44562358,7.276819878,2.247470512,0.070453013,0.0402589,0.271747335,0.270861289,0.49317109,0.654206548,511.4807882,724.8088817,13.3,4.4,,,,0.029819591,5.5,28.1,0.110711877,74.05027618,4.256976256,5.79108638,2.574271631,6.533034095,25.62076634,70881,8.1,0,10.1,0,1,0
